"Sample"	"Exp"	"input"	"filtered"	"seqtable"	"nonchim"	"ThreshReads"	"NoContamReads"
"52"	"1_3.1RH"	"Exp2"	108818	103426	100582	97872	95564	85496
"53"	"10_2.1RH"	"Exp2"	89188	85913	81276	79861	74972	74491
"54"	"100_5.5BP"	"Exp2"	82663	78206	49083	47567	46339	45718
"55"	"101_5.5CS"	"Exp2"	90291	84808	66300	64980	61236	53734
"56"	"102_5.5BS"	"Exp2"	104470	98937	62751	60648	58089	57610
"57"	"103_6.5BP"	"Exp2"	130629	125529	89890	87042	83373	81102
"58"	"104_6.5CS"	"Exp2"	110489	105288	81059	79062	74177	66576
"59"	"105_6.5BS"	"Exp2"	118082	112631	74206	71497	67968	67317
"60"	"106_6.1BP"	"Exp2"	92620	88856	69453	67914	64401	57227
"61"	"107_5.1BP"	"Exp2"	72825	69323	49436	48236	46761	44400
"62"	"108_6.1RT"	"Exp2"	80877	77123	68511	59787	59626	48151
"63"	"109_5.1RT"	"Exp2"	95005	88578	81467	73045	72911	42360
"64"	"11_1.1CS"	"Exp2"	80772	77126	46995	45357	43943	43818
"65"	"110_4.1RT"	"Exp2"	98408	93236	85607	75364	75242	49104
"66"	"111_4.2BP"	"Exp2"	91875	88516	68030	66414	64021	58188
"67"	"112_4.2BS"	"Exp2"	116169	110982	72913	70069	67945	67025
"68"	"113_4.2CS"	"Exp2"	55657	52395	35885	34963	34049	31839
"69"	"114_3.2CS"	"Exp2"	92776	87584	60262	58103	55964	54450
"70"	"115_5.2BS"	"Exp2"	59892	56584	34592	33420	32105	31088
"71"	"116_5.2BP"	"Exp2"	51719	48805	34429	33580	32751	30971
"72"	"117_6.2BP"	"Exp2"	52435	49101	32672	31774	31119	29955
"73"	"118_6.2BS"	"Exp2"	63183	59858	36522	35305	34254	33806
"74"	"119_4.3BP"	"Exp2"	88772	85112	59143	57479	56063	53607
"75"	"12_3.1CS"	"Exp2"	77353	73691	45385	43672	42478	42464
"76"	"120_6.2CS"	"Exp2"	88366	84130	55314	53542	51983	51010
"77"	"121_4.3BS"	"Exp2"	30183	28393	15569	15145	14325	13952
"78"	"122_4.3CS"	"Exp2"	72769	68779	42807	41456	40234	39623
"79"	"123_5.3BP"	"Exp2"	68832	65180	41259	39942	38721	38035
"80"	"124_5.3BS"	"Exp2"	66191	62441	38022	36759	35771	35377
"81"	"125_5.3CS"	"Exp2"	41248	37981	25488	24743	24111	22892
"82"	"126_6.3BP"	"Exp2"	44585	42029	26499	25779	25191	24671
"83"	"127_6.3BS"	"Exp2"	77527	73955	46159	44586	43358	42742
"84"	"128_6.3CS"	"Exp2"	69173	65838	43496	42062	41050	39344
"85"	"129_5.2RT"	"Exp2"	60125	56951	52132	44475	44335	28487
"86"	"13_1.2RH"	"Exp2"	78502	75801	73787	72932	69383	68993
"87"	"130_4.3RT"	"Exp2"	96462	91013	81655	74009	73410	49983
"88"	"131_5.3RT"	"Exp2"	81796	78377	69363	57537	57260	44495
"89"	"132_6.3RT"	"Exp2"	74675	70409	62299	54563	54211	36616
"90"	"133_4.2RT"	"Exp2"	73801	70405	62112	51511	51294	41272
"91"	"134_6.2RT"	"Exp2"	69418	65985	59945	53440	53166	37309
"92"	"135_4.4RT"	"Exp2"	63405	60650	53322	49564	48981	34921
