"Sample"	"Exp"	"input"	"filtered"	"seqtable"	"nonchim"	"ThreshReads"	"NoContamReads"
"341"	"192_MockComm"	"Exp3"	79850	73868	71080	69042	59954	59950
"342"	"2_GVCLHN1-BS"	"Exp3"	124974	111744	71508	66739	63783	63714
"343"	"20_GVN7HP2-BS"	"Exp3"	64535	58282	29881	28523	28120	28040
"344"	"21_RIFLHN1-BH"	"Exp3"	123919	112075	67453	64706	61690	61418
"345"	"22_RIFLHN1-BS"	"Exp3"	131250	119421	72153	67854	64246	63937
"346"	"23_RIFLHN2-BH"	"Exp3"	120937	108445	62403	60007	57657	57338
"347"	"24_RIFLHN2-BS"	"Exp3"	138863	125133	73691	70185	67219	66837
"348"	"25_RIFLHP1-BH"	"Exp3"	101382	90323	48894	46610	44936	44751
"349"	"26_RIFLHP1-BS"	"Exp3"	90679	81501	46307	44694	43006	42784
"350"	"27_RIFLHP2-BH"	"Exp3"	97084	87188	50533	48482	46611	46370
"351"	"28_RIFLHP2-BS"	"Exp3"	86197	77096	42645	40753	39420	39195
"352"	"29_RIN7HN1-BH"	"Exp3"	108178	97699	61517	58712	57728	57726
"353"	"3_GVCLHN2-BH"	"Exp3"	150227	135075	89118	82429	77603	77332
"354"	"30_RIN7HN1-BS"	"Exp3"	113032	102422	62771	59484	58512	58503
"355"	"31_RIN7HN2-BH"	"Exp3"	86730	77269	42794	40851	40279	40242
"356"	"32_RIN7HN2-BS"	"Exp3"	105945	95278	53975	51121	50281	50234
"357"	"33_RIN7HP1-BH"	"Exp3"	83262	75355	39999	37790	37161	37151
"358"	"34_RIN7HP1-BS"	"Exp3"	90300	82433	47001	44846	44337	44324
"359"	"35_RIN7HP2-BH"	"Exp3"	77423	70509	35002	33232	32684	32652
"360"	"36_RIN7HP2-BS"	"Exp3"	68242	62108	33018	31655	31102	31059
"361"	"37_GVCLHN1-BP"	"Exp3"	90150	81875	54191	51593	46921	46698
"362"	"38_GVCLHN1-CS"	"Exp3"	90804	82665	58544	56169	53413	53329
"363"	"39_GVCLHN2-BP"	"Exp3"	89313	79960	59023	57366	52616	52432
"364"	"4_GVCLHN2-BS"	"Exp3"	135859	121989	78077	72133	68642	68529
"365"	"40_GVCLHN2-CS"	"Exp3"	99990	91247	74205	72856	67186	66835
"366"	"41_GVFLHN1-BP"	"Exp3"	93725	82251	44969	43252	41302	40627
"367"	"42_GVFLHN1-CS"	"Exp3"	97182	85781	46502	44722	43581	43414
"368"	"43_GVFLHN2-BP"	"Exp3"	87456	77259	39244	37643	36889	36647
"369"	"44_GVFLHN2-CS"	"Exp3"	109754	96933	52414	50772	48954	48810
"370"	"45_GVFLHP1-BP"	"Exp3"	86757	77258	43617	42494	40330	39839
"371"	"46_GVFLHP1-CS"	"Exp3"	79300	70655	39703	38489	36689	36535
"372"	"47_GVFLHP2-BP"	"Exp3"	91775	79729	40793	39458	37052	36919
"373"	"48_GVFLHP2-CS"	"Exp3"	122715	108707	64722	62271	59753	59452
"374"	"49_GVN7HN1-BP"	"Exp3"	77080	70846	40597	38410	37445	37445
"375"	"5_GVFLHN1-BH"	"Exp3"	124372	111952	66858	64056	60907	60543
"376"	"50_GVN7HN1-CS"	"Exp3"	57760	53133	28656	27531	27171	27171
"377"	"51_GVN7HN2-BP"	"Exp3"	98953	91386	55055	52673	51443	51361
"378"	"52_GVN7HN2-CS"	"Exp3"	55067	50731	27125	25399	25033	25033
"379"	"53_GVN7HP1-BP"	"Exp3"	72267	66683	41608	40271	39256	39207
"380"	"54_GVN7HP1-CS"	"Exp3"	63195	58271	32632	31105	30581	30441
"381"	"55_GVN7HP2-BP"	"Exp3"	69966	64533	40138	38769	37646	37604
"382"	"56_GVN7HP2-CS"	"Exp3"	81147	74547	49262	47564	46570	46463
"383"	"57_RIN7HN1-CS"	"Exp3"	82642	72691	43768	41015	40337	40309
"384"	"58_RIN7HN2-CS"	"Exp3"	64328	57832	30864	29705	28782	28746
"385"	"59_RIN7HP1-CS"	"Exp3"	75451	67661	36889	35162	34311	34311
"386"	"6_GVFLHN1-BS"	"Exp3"	125722	113984	67835	64700	62428	62041
"387"	"60_RIN7HP2-CS"	"Exp3"	62111	55547	29768	28384	27849	27719
"388"	"61_GVCLHN1-CH"	"Exp3"	50707	44364	39408	38834	35374	33900
"389"	"62_GVCLHN1-RH"	"Exp3"	71079	65031	59247	56695	56268	51229
"390"	"63_GVCLHN1-RS"	"Exp3"	85047	76458	70600	69797	69165	66879
"391"	"64_GVCLHN2-CH"	"Exp3"	41224	36835	29917	29625	26988	26322
"392"	"65_GVCLHN2-RH"	"Exp3"	84477	77881	71648	66437	65984	60758
"393"	"66_GVCLHN2-RS"	"Exp3"	49618	45605	44163	44077	43122	41587
"394"	"67_GVFLHN1-CH"	"Exp3"	91067	83352	69711	67601	60821	60488
"395"	"68_GVFLHN1-RH"	"Exp3"	87435	80848	73281	68526	67854	65960
"396"	"69_GVFLHN1-RS"	"Exp3"	56343	51904	49642	49367	47923	46868
"397"	"7_GVFLHN2-BH"	"Exp3"	138879	124217	74226	71667	68493	68193
"398"	"70_GVFLHN2-CH"	"Exp3"	85933	78968	63181	62412	56684	56506
"399"	"71_GVFLHN2-RH"	"Exp3"	79279	72470	64658	58688	57663	56883
"400"	"72_GVFLHN2-RS"	"Exp3"	21282	19475	18178	18101	17604	17418
"401"	"73_GVFLHP1-CH"	"Exp3"	84041	76465	52546	49127	46939	45105
"402"	"74_GVFLHP2-CH"	"Exp3"	70590	64427	52525	52029	46142	45470
"403"	"75_GVN7HN1-CH"	"Exp3"	94292	86039	66209	64605	62259	61356
"404"	"76_GVN7HN1-RS"	"Exp3"	31154	28125	27259	27204	23350	19448
"405"	"77_GVN7HN1-RH"	"Exp3"	107558	99426	90432	84864	84506	80167
"406"	"78_GVN7HN2-CH"	"Exp3"	61500	56569	48171	47721	45309	45256
"407"	"79_GVN7HN2-RH"	"Exp3"	118987	108540	98768	96350	92944	88900
"408"	"8_GVFLHN2-BS"	"Exp3"	129009	116255	72049	68940	65567	65276
"409"	"80_GVN7HN2-RS"	"Exp3"	108291	99817	87153	80688	77414	75248
"410"	"81_GVN7HP1-CH"	"Exp3"	78722	70783	53907	52344	50656	50083
"411"	"82_GVN7HP2-CH"	"Exp3"	69416	62880	53482	52398	49346	49165
"412"	"83_RIN7HN1-CH"	"Exp3"	91924	83389	66665	64627	60941	60894
"413"	"84_RIN7HN1-RH"	"Exp3"	95574	86625	77078	69816	68673	67690
"414"	"85_RIN7HN2-CH"	"Exp3"	71718	65435	52169	50056	48416	48295
"415"	"86_RIN7HN2-RH"	"Exp3"	84068	76445	68301	60287	59380	57295
"416"	"87_RIN7HP1-CH"	"Exp3"	87294	77532	62827	60431	58228	56759
"417"	"88_RIN7HP2-CH"	"Exp3"	118823	107768	88924	83934	80658	80121
"418"	"89_125-BK"	"Exp3"	10631	8772	8558	8267	4163	3315
"419"	"9_GVFLHP1-BH"	"Exp3"	118692	107252	61396	58100	55840	55445
"420"	"90_29-BK"	"Exp3"	7914	6971	6719	6642	3448	2786
"421"	"91_77-BK"	"Exp3"	8151	7044	6870	6707	3184	2758
"422"	"92_PCRblank"	"Exp3"	4068	3580	3467	3344	1859	1605
"423"	"93_PCRblank"	"Exp3"	4537	3928	3817	3689	2264	2182
"424"	"94_GVN7HP2-BS"	"Exp3"	8214	7482	3072	2842	2686	2686
"425"	"95_GVCLHN2-CH"	"Exp3"	43217	38771	30515	29882	27130	26599
"426"	"96_GVFLHN2-RS"	"Exp3"	34346	31639	30639	30553	29304	29099
"427"	"97_GVCLHN3-BH"	"Exp3"	76827	68861	50056	48727	45931	45827
"428"	"98_GVCLHN3-BS"	"Exp3"	77264	69070	48922	47473	45348	45329
"429"	"99_GVCLHN4-BH"	"Exp3"	85363	76248	47240	44646	42581	42540
