SampleID	Sample	Experiment	Plant	Fungus	Soil	SampleType	Treatment	TimePoint	DAI	Rep	Concentration_ng.ul
48_3.5BP	3.5BP	2	3.5	Gv	Lansing	BP	HN	5	65	3	1.632
49_3.5BS	3.5BS	2	3.5	Gv	Lansing	BS	HN	5	65	3	1.93
50_2.5BS	2.5BS	2	2.5	Gv	Lansing	BS	HN	5	65	2	4.007
51_1.5BS	1.5BS	2	1.5	Gv	Lansing	BS	HN	5	65	1	2.02
52_2.5CS	2.5CS	2	2.5	Gv	Lansing	CS	HN	5	65	2	2.188
53_1.3BS	1.3BS	2	1.3	Gv	Lansing	BS	HN	3	35	1	3.409
54_1.3BS	1.3BS	2	1.3	Gv	Lansing	BS	HN	3	35	1	1.439
55_2.3BS	2.3BS	2	2.3	Gv	Lansing	BS	HN	3	35	2	2.175
56_3.3BS	3.3BS	2	3.3	Gv	Lansing	BS	HN	3	35	3	2.008
57_1.3CS	1.3CS	2	1.3	Gv	Lansing	CS	HN	3	35	1	4.542
58_2.3CS	2.3CS	2	2.3	Gv	Lansing	CS	HN	3	35	2	1.225
59_3.3CS	3.3CS	2	3.3	Gv	Lansing	CS	HN	3	35	3	4.579
60_2.4BS	2.4BS	2	2.4	Gv	Lansing	BS	HN	4	45	2	4.777
61_2.4CS	2.4CS	2	2.4	Gv	Lansing	CS	HN	4	45	2	1.071
62_1.5CS	1.5CS	2	1.5	Gv	Lansing	CS	HN	5	65	1	0.937
63_1.4BS	1.4BS	2	1.4	Gv	Lansing	BS	HN	4	45	1	5.689
64_1.4CS	1.4CS	2	1.4	Gv	Lansing	CS	HN	4	45	1	1.678
65_3.4CS	3.4CS	2	3.4	Gv	Lansing	CS	HN	4	45	3	1.249
66_4.1BP	4.1BP	2	4.1	Gv	Lansing	BP	HN	1	14	4	1.048
67_4.1BS	4.1BS	2	4.1	Gv	Lansing	BS	HN	1	14	4	3.835
68_5.1BS	5.1BS	2	5.1	Gv	Lansing	BS	HN	1	14	5	3.67
69_6.1BS	6.1BS	2	6.1	Gv	Lansing	BS	HN	1	14	6	4.343
70_4.1CS	4.1CS	2	4.1	Gv	Lansing	CS	HN	1	14	4	2.853
71_6.1CS	6.1CS	2	6.1	Gv	Lansing	CS	HN	1	14	6	1.973
72_5.1CS	5.1CS	2	5.1	Gv	Lansing	CS	HN	1	14	5	1.291
73_1.3RT	1.3RT	2	1.3	Gv	Lansing	RT	HN	3	35	1	1.585
74_2.3RT	2.3RT	2	2.3	Gv	Lansing	RT	HN	3	35	2	1.98
75_3.3RT	3.3RT	2	3.3	Gv	Lansing	RT	HN	3	35	3	6.283
76_1.4RT	1.4RT	2	1.4	Gv	Lansing	RT	HN	4	45	1	5.256
77_2.4RT	2.4RT	2	2.4	Gv	Lansing	RT	HN	4	45	2	6.53
78_3.4RT	3.4RT	2	3.4	Gv	Lansing	RT	HN	4	45	3	3.613
79_1.2RT	1.2RT	2	1.2	Gv	Lansing	RT	HN	2	24	1	3.453
80_2.2RT	2.2RT	2	2.2	Gv	Lansing	RT	HN	2	24	2	3.083
81_3.2RT	3.2RT	2	3.2	Gv	Lansing	RT	HN	2	24	3	1.76
82_1.1RT	1.1RT	2	1.1	Gv	Lansing	RT	HN	1	14	1	1.561
83_2.1RT	2.1RT	2	2.1	Gv	Lansing	RT	HN	1	14	2	3.734
84_3.1RT	3.1RT	2	3.1	Gv	Lansing	RT	HN	1	14	3	2.065
85_1.2CS	1.2CS	2	1.2	Gv	Lansing	CS	HN	2	24	1	0.677
86_2.2CS	2.2CS	2	2.2	Gv	Lansing	CS	HN	2	24	2	1.566
87_5.2CS	5.2CS	2	5.2	Gv	Lansing	CS	HN	2	24	5	2.2
88_1.1BS	1.1BS	2	1.1	Gv	Lansing	BS	HN	1	14	1	4.421
89_2.2BS	2.2BS	2	2.2	Gv	Lansing	BS	HN	2	24	2	0.863
90_2.1BS	2.1BS	2	2.1	Gv	Lansing	BS	HN	1	14	2	1.481
91_1.2BS	1.2BS	2	1.2	Gv	Lansing	BS	HN	2	24	1	1.511
92_3.2BS	3.2BS	2	3.2	Gv	Lansing	BS	HN	2	24	3	3.592
93_3.1BS	3.1BS	2	3.1	Gv	Lansing	BS	HN	1	14	3	3.709
94_ExtractionBlank	ExtractionBlank	2				EB					0.119
95_Mock	Mock	2				MK					0.12
96_ExtractionBlank	ExtractionBlank	2				EB					0.123
97_4.5BP	4.5BP	2	4.5	Gv	Lansing	BP	HN	5	65	4	0.975
98_4.5CS	4.5CS	2	4.5	Gv	Lansing	CS	HN	5	65	4	0.406
99_4.5BS	4.5BS	2	4.5	Gv	Lansing	BS	HN	5	65	4	2.936
100_5.5BP	5.5BP	2	5.5	Gv	Lansing	BP	HN	5	65	5	2.065
101_5.5CS	5.5CS	2	5.5	Gv	Lansing	CS	HN	5	65	5	0.218
102_5.5BS	5.5BS	2	5.5	Gv	Lansing	BS	HN	5	65	5	2.797
103_6.5BP	6.5BP	2	6.5	Gv	Lansing	BP	HN	5	65	6	1.001
104_6.5CS	6.5CS	2	6.5	Gv	Lansing	CS	HN	5	65	6	0.332
105_6.5BS	6.5BS	2	6.5	Gv	Lansing	BS	HN	5	65	6	2.412
106_6.1BP	6.1BP	2	6.1	Gv	Lansing	BP	HN	1	14	6	0.293
107_5.1BP	5.1BP	2	5.1	Gv	Lansing	BP	HN	1	14	5	0.673
108_6.1RT	6.1RT	2	6.1	Gv	Lansing	RT	HN	1	14	6	1.312
109_5.1RT	5.1RT	2	5.1	Gv	Lansing	RT	HN	1	14	5	1.299
110_4.1RT	4.1RT	2	4.1	Gv	Lansing	RT	HN	1	14	4	0.92
111_4.2BP	4.2BP	2	4.2	Gv	Lansing	BP	HN	2	24	4	0.385
112_4.2BS	4.2BS	2	4.2	Gv	Lansing	BS	HN	2	24	4	1.783
113_4.2CS	4.2CS	2	4.2	Gv	Lansing	CS	HN	2	24	4	0.446
114_3.2CS	3.2CS	2	3.2	Gv	Lansing	CS	HN	2	24	3	0.774
115_5.2BS	5.2BS	2	5.2	Gv	Lansing	BS	HN	2	24	5	1.103
116_5.2BP	5.2BP	2	5.2	Gv	Lansing	BP	HN	2	24	5	0.576
117_6.2BP	6.2BP	2	6.2	Gv	Lansing	BP	HN	2	24	6	0.928
118_6.2BS	6.2BS	2	6.2	Gv	Lansing	BS	HN	2	24	6	2.265
119_4.3BP	4.3BP	2	4.3	Gv	Lansing	BP	HN	3	35	4	0.724
120_6.2CS	6.2CS	2	6.2	Gv	Lansing	CS	HN	2	24	6	1.321
121_4.3BS	4.3BS	2	4.3	Gv	Lansing	BS	HN	3	35	4	1.6
122_4.3CS	4.3CS	2	4.3	Gv	Lansing	CS	HN	3	35	4	2.026
123_5.3BP	5.3BP	2	5.3	Gv	Lansing	BP	HN	3	35	5	1.563
124_5.3BS	5.3BS	2	5.3	Gv	Lansing	BS	HN	3	35	5	3.168
125_5.3CS	5.3CS	2	5.3	Gv	Lansing	CS	HN	3	35	5	0.661
126_6.3BP	6.3BP	2	6.3	Gv	Lansing	BP	HN	3	35	6	1.892
127_6.3BS	6.3BS	2	6.3	Gv	Lansing	BS	HN	3	35	6	1.941
128_6.3CS	6.3CS	2	6.3	Gv	Lansing	CS	HN	3	35	6	0.978
129_5.2RT	5.2RT	2	5.2	Gv	Lansing	RT	HN	2	24	5	1.534
130_4.3RT	4.3RT	2	4.3	Gv	Lansing	RT	HN	3	35	4	0.753
131_5.3RT	5.3RT	2	5.3	Gv	Lansing	RT	HN	3	35	5	3.064
132_6.3RT	6.3RT	2	6.3	Gv	Lansing	RT	HN	3	35	6	2.144
133_4.2RT	4.2RT	2	4.2	Gv	Lansing	RT	HN	2	24	4	2.482
134_6.2RT	6.2RT	2	6.2	Gv	Lansing	RT	HN	2	24	6	0.548
135_4.4RT	4.4RT	2	4.4	Gv	Lansing	RT	HN	4	45	4	1.081
136_5.4RT	5.4RT	2	5.4	Gv	Lansing	RT	HN	4	45	5	1.473
137_6.4RT	6.4RT	2	6.4	Gv	Lansing	RT	HN	4	45	6	1.581
138_4.4BP	4.4BP	2	4.4	Gv	Lansing	BP	HN	4	45	4	0.852
139_4.4CS	4.4CS	2	4.4	Gv	Lansing	CS	HN	4	45	4	1.172
140_4.4BS	4.4BS	2	4.4	Gv	Lansing	BS	HN	4	45	4	1.357
141_5.4BS	5.4BS	2	5.4	Gv	Lansing	BS	HN	4	45	5	1.091
142_5.4BP	5.4BP	2	5.4	Gv	Lansing	BP	HN	4	45	5	1.718
143_5.4CS	5.4CS	2	5.4	Gv	Lansing	CS	HN	4	45	5	0.533
144_6.4BP	6.4BP	2	6.4	Gv	Lansing	BP	HN	4	45	6	0.773
145_6.4CS	6.4CS	2	6.4	Gv	Lansing	CS	HN	4	45	6	0.372
146_6.4BS	6.4BS	2	6.4	Gv	Lansing	BS	HN	4	45	6	1.112
147_T0R1	T0R1	2			Lansing	T0				1	0.142
148_T0R2	T0R2	2			Lansing	T0				2	3.545
149_T0R3	T0R3	2			Lansing	T0				3	2.036
150_T0R4	T0R4	2			Lansing	T0				4	7.586
151_Blank	ExtractionBlank	2				EB					0.103
152_GvSpores	GvSpores	2		Gv		GV					0.101
153_T0R5	T0R5	2			Lansing	T0	HN			5	4.461
154_T0R6	T0R6	2			Lansing	T0	HN			6	4.733
155_1.3RH	1.3RH	2	1.3	Gv	Lansing	RH	HN	3	35	1	0.117
156_2.3RH	2.3RH	2	2.3	Gv	Lansing	RH	HN	3	35	2	0.115
157_3.3RH	3.3RH	2	3.3	Gv	Lansing	RH	HN	3	35	3	0.105
158_1.4RH	1.4RH	2	1.4	Gv	Lansing	RH	HN	4	45	1	0.111
159_2.4RH	2.4RH	2	2.4	Gv	Lansing	RH	HN	4	45	2	0.162
160_Unknown	Unknown	2		Gv	Lansing		HN				0.219
161_4.1CH	4.1CH	2	4.1	Gv	Lansing	CH	HN	1	14	4	0.19
162_4.1RH	4.1RH	2	4.1	Gv	Lansing	RH	HN	1	14	4	0.206
163_4.4CH	4.4CH	2	4.4	Gv	Lansing	CH	HN	4	45	4	0.145
164_4.4RH	4.4RH	2	4.4	Gv	Lansing	RH	HN	4	45	4	0.204
165_5.1CH	5.1CH	2	5.1	Gv	Lansing	CH	HN	1	14	5	0.16
166_5.1RH	5.1RH	2	5.1	Gv	Lansing	RH	HN	1	14	5	0.187
167_5.4CH	5.4CH	2	5.4	Gv	Lansing	CH	HN	4	45	5	0.19
168_5.4RH	5.4RH	2	5.4	Gv	Lansing	RH	HN	4	45	5	0.159
169_6.1CH	6.1CH	2	6.1	Gv	Lansing	CH	HN	1	14	6	0.193
170_6.1RH	6.1RH	2	6.1	Gv	Lansing	RH	HN	1	14	6	0.188
171_6.4CH	6.4CH	2	6.4	Gv	Lansing	CH	HN	4	45	6	0.175
172_6.4RH	6.4RH	2	6.4	Gv	Lansing	RH	HN	4	45	6	0.185
173_4.2CH	4.2CH	2	4.2	Gv	Lansing	CH	HN	2	24	4	0.127
174_4.2RH	4.2RH	2	4.2	Gv	Lansing	RH	HN	2	24	4	0.156
175_4.5CH	4.5CH	2	4.5	Gv	Lansing	CH	HN	5	65	4	0.121
176_4.5RH	4.5RH	2	4.5	Gv	Lansing	RH	HN	5	65	4	0.143
177_5.2CH	5.2CH	2	5.2	Gv	Lansing	CH	HN	2	24	5	0.161
178_5.2RH	5.2RH	2	5.2	Gv	Lansing	RH	HN	2	24	5	0.159
179_5.5CH	5.5CH	2	5.5	Gv	Lansing	CH	HN	5	65	5	0.092
180_5.5RH	5.5RH	2	5.5	Gv	Lansing	RH	HN	5	65	5	0.091
181_6.2CH	6.2CH	2	6.2	Gv	Lansing	CH	HN	2	24	6	0.099
182_6.2RH	6.2RH	2	6.2	Gv	Lansing	RH	HN	2	24	6	0.155
183_6.5CH	6.5CH	2	6.5	Gv	Lansing	CH	HN	5	65	6	0.112
184_6.5RH	6.5RH	2	6.5	Gv	Lansing	RH	HN	5	65	6	0.098
185_4.3CH	4.3CH	2	4.3	Gv	Lansing	CH	HN	3	35	4	0.116
