"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"ASV"	"Test"	"TimePoint"
"131"	0.673967824891383	3.08917081110324	3.05666649103386	1.01063391121168	0.312191679013507	0.433525275889206	"ASV807"	"RH-RT"	1
"132"	0	NA	NA	NA	NA	NA	"ASV5083"	"RH-RT"	1
"133"	0	NA	NA	NA	NA	NA	"ASV3894"	"RH-RT"	1
"134"	1.25171583840556	3.93677895944216	3.03318130111657	1.29790426902373	NA	NA	"ASV8585"	"RH-RT"	1
"135"	0	NA	NA	NA	NA	NA	"ASV7317"	"RH-RT"	1
"136"	0	NA	NA	NA	NA	NA	"ASV2561"	"RH-RT"	1
"137"	0	NA	NA	NA	NA	NA	"ASV7199"	"RH-RT"	1
"138"	0	NA	NA	NA	NA	NA	"ASV2795"	"RH-RT"	1
"139"	0	NA	NA	NA	NA	NA	"ASV2412"	"RH-RT"	1
"140"	0	NA	NA	NA	NA	NA	"ASV4661"	"RH-RT"	1
"141"	0	NA	NA	NA	NA	NA	"ASV2137"	"RH-RT"	1
"142"	0	NA	NA	NA	NA	NA	"ASV5255"	"RH-RT"	1
"143"	0	NA	NA	NA	NA	NA	"ASV6641"	"RH-RT"	1
"144"	5.53282486856608	6.05621352765891	3.01014709580716	2.01193275109201	0.0442270264206878	0.25329231589858	"ASV2331"	"RH-RT"	1
"145"	0	NA	NA	NA	NA	NA	"ASV1217"	"RH-RT"	1
"146"	0	NA	NA	NA	NA	NA	"ASV8796"	"RH-RT"	1
"147"	0	NA	NA	NA	NA	NA	"ASV5787"	"RH-RT"	1
"148"	0	NA	NA	NA	NA	NA	"ASV4173"	"RH-RT"	1
"149"	0	NA	NA	NA	NA	NA	"ASV4544"	"RH-RT"	1
"150"	0.736303434356212	3.18383720348609	3.0533352459198	1.04274078902429	0.2970683611652	0.419257523864271	"ASV2042"	"RH-RT"	1
"151"	1.70162999095835	4.33496242598419	3.02601092168954	1.4325666820673	0.151981709018754	0.353657137369886	"ASV3782"	"RH-RT"	1
"152"	0	NA	NA	NA	NA	NA	"ASV7090"	"RH-RT"	1
"153"	0	NA	NA	NA	NA	NA	"ASV6893"	"RH-RT"	1
"154"	0	NA	NA	NA	NA	NA	"ASV7043"	"RH-RT"	1
"155"	0	NA	NA	NA	NA	NA	"ASV7862"	"RH-RT"	1
"156"	0	NA	NA	NA	NA	NA	"ASV5992"	"RH-RT"	1
"157"	0.515412404049349	2.68123420533346	3.07367611154201	0.872321646143885	0.383032932059448	0.474946188222853	"ASV5535"	"RH-RT"	1
"158"	0.58904274748497	2.86901282472894	3.06527471505506	0.935972495593239	0.34928734911038	0.448984828341092	"ASV9334"	"RH-RT"	1
"159"	0	NA	NA	NA	NA	NA	"ASV5231"	"RH-RT"	1
"160"	1.10445515153432	3.75868813304905	3.03707025614373	1.23760328739368	0.215863194909761	0.386171812135117	"ASV2247"	"RH-RT"	1
"161"	0.809933777791834	3.31865782763853	3.04893996443359	1.08846283178785	0.276390836334472	0.408631663651202	"ASV11002"	"RH-RT"	1
"162"	0	NA	NA	NA	NA	NA	"ASV6193"	"RH-RT"	1
"163"	0	NA	NA	NA	NA	NA	"ASV8184"	"RH-RT"	1
"164"	12.3630269169525	7.21760991177276	3.00629781948437	2.40082997266409	0.0163579351567251	0.205982931051189	"ASV347"	"RH-RT"	1
"165"	2.15801945384529	4.70498314025757	3.02088219214436	1.55748646951299	NA	NA	"ASV348"	"RH-RT"	1
"166"	0	NA	NA	NA	NA	NA	"ASV1288"	"RH-RT"	1
"167"	0	NA	NA	NA	NA	NA	"ASV1901"	"RH-RT"	1
"168"	13.0297201242034	7.29380404359997	3.0061374385296	2.42630425013689	0.0152534765931381	0.19738190715814	"ASV461"	"RH-RT"	1
"169"	0.515412404049349	2.68123420533346	3.07367611154201	0.872321646143885	0.383032932059448	0.474946188222853	"ASV568"	"RH-RT"	1
"170"	2.4298013333755	4.88426125568555	3.01882637849093	1.61793380715294	NA	NA	"ASV1783"	"RH-RT"	1
"171"	0	NA	NA	NA	NA	NA	"ASV986"	"RH-RT"	1
"172"	0	NA	NA	NA	NA	NA	"ASV2701"	"RH-RT"	1
"173"	1.25171583840556	3.93677895944216	3.03318130111657	1.29790426902373	NA	NA	"ASV6158"	"RH-RT"	1
"174"	0	NA	NA	NA	NA	NA	"ASV4028"	"RH-RT"	1
"175"	0	NA	NA	NA	NA	NA	"ASV6596"	"RH-RT"	1
"176"	0	NA	NA	NA	NA	NA	"ASV4554"	"RH-RT"	1
"177"	0	NA	NA	NA	NA	NA	"ASV10470"	"RH-RT"	1
"178"	0	NA	NA	NA	NA	NA	"ASV11558"	"RH-RT"	1
