ASV	Taxonomy
ASV2222	Gemmatimonadetes Gemmatimonadetes Gemmatimonadaceae
BE177	
ASV2225	Bacteroidetes Bacteroidia Microscillaceae
BE55	
ASV1260	Proteobacteria Gammaproteobacteria Xanthomonadaceae
ASV1267	Bacteroidetes Bacteroidia Microscillaceae
ASV1265	Verrucomicrobia Verrucomicrobiae Chthoniobacteraceae
ASV1461	Proteobacteria Deltaproteobacteria Sandaracinaceae
ASV1462	Gemmatimonadetes Gemmatimonadetes Gemmatimonadaceae
ASV812	Proteobacteria Alphaproteobacteria Beijerinckiaceae
ASV811	Planctomycetes Phycisphaerae Phycisphaeraceae
ASV815	Proteobacteria Gammaproteobacteria SC-I-84
ASV814	Planctomycetes Phycisphaerae Phycisphaeraceae
ASV141	Chloroflexi Chloroflexia JG30-KF-CM45
ASV140	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV143	Proteobacteria Gammaproteobacteria Nitrosomonadaceae
ASV142	Gemmatimonadetes Gemmatimonadetes Gemmatimonadaceae
ASV144	Bacteroidetes Bacteroidia Chitinophagaceae
ASV1989	Chloroflexi Chloroflexia Herpetosiphonaceae
ASV146	Proteobacteria Gammaproteobacteria Burkholderiaceae
BE54	
BE50	
ASV198	Gemmatimonadetes Gemmatimonadetes Gemmatimonadaceae
ASV660	Proteobacteria Gammaproteobacteria Cellvibrionaceae
ASV788	Proteobacteria Gammaproteobacteria Nitrosomonadaceae
ASV665	Firmicutes Bacilli Planococcaceae
ASV2031	Bacteroidetes Bacteroidia Chitinophagaceae
ASV89	Verrucomicrobia Verrucomicrobiae Xiphinematobacteraceae
ASV4604	Proteobacteria Gammaproteobacteria Xanthomonadaceae
ASV83	Proteobacteria Alphaproteobacteria Xanthobacteraceae
ASV82	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV81	Bacteroidetes Bacteroidia Spirosomaceae
ASV80	Proteobacteria Gammaproteobacteria SC-I-84
ASV86	Proteobacteria Alphaproteobacteria Caulobacteraceae
ASV85	Proteobacteria Deltaproteobacteria Haliangiaceae
BE118	
BE116	
BE117	
BE114	
BE115	
BE112	
BE113	
ASV1219	Proteobacteria Gammaproteobacteria A21b
ASV3659	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV914	Acidobacteria Acidobacteriia Solibacteraceae_(Subgroup_3)
ASV442	Verrucomicrobia Verrucomicrobiae Chthoniobacteraceae
BE68	
BE69	
ASV448	Actinobacteria Actinobacteria Frankiaceae
BE194	
ASV918	Proteobacteria Alphaproteobacteria Sphingomonadaceae
ASV919	Acidobacteria Blastocatellia_(Subgroup_4) Blastocatellaceae
ASV1601	Bacteroidetes Bacteroidia Flavobacteriaceae
ASV151	Proteobacteria Gammaproteobacteria Xanthomonadaceae
ASV1607	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV563	Proteobacteria Deltaproteobacteria Myxococcaceae
BE232	
ASV101	Proteobacteria Deltaproteobacteria 0319-6G20
BE191	
ASV3528	Proteobacteria Alphaproteobacteria Sphingomonadaceae
BE233	
ASV4509	Verrucomicrobia Verrucomicrobiae Pedosphaeraceae
BE231	
ASV18	Proteobacteria Alphaproteobacteria Xanthobacteraceae
ASV19	Actinobacteria Actinobacteria Micrococcaceae
BE235	
BE234	
ASV14	Bacteroidetes Bacteroidia Flavobacteriaceae
ASV15	Proteobacteria Gammaproteobacteria Xanthomonadaceae
ASV16	Planctomycetes Planctomycetacia Pirellulaceae
ASV17	Proteobacteria Deltaproteobacteria Sandaracinaceae
ASV11	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV12	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV13	Proteobacteria Gammaproteobacteria Burkholderiaceae
BE62	
ASV2983	Bacteroidetes Bacteroidia Microscillaceae
ASV286	Planctomycetes Planctomycetacia Pirellulaceae
ASV1147	Proteobacteria Deltaproteobacteria Archangiaceae
ASV285	Actinobacteria Thermoleophilia Gaiellaceae
BE239	
ASV281	Bacteroidetes Bacteroidia Chitinophagaceae
ASV368	Fibrobacteres Fibrobacteria Fibrobacteraceae
ASV2853	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV361	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV360	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV227	Chloroflexi Chloroflexia Herpetosiphonaceae
ASV1731	Proteobacteria Gammaproteobacteria Moraxellaceae
ASV366	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV2522	Proteobacteria Gammaproteobacteria Rhodanobacteraceae
ASV2679	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV600	Actinobacteria Actinobacteria Cellulomonadaceae
ASV3215	Verrucomicrobia Verrucomicrobiae Pedosphaeraceae
ASV654	Actinobacteria Actinobacteria Micrococcaceae
BE110	
ASV217	Actinobacteria Actinobacteria Microbacteriaceae
ASV216	Actinobacteria Actinobacteria Intrasporangiaceae
ASV1130	Bacteroidetes Bacteroidia env.OPS_17
ASV219	Proteobacteria Gammaproteobacteria Nitrosomonadaceae
ASV1422	Fibrobacteres Fibrobacteria Fibrobacteraceae
ASV1030	Proteobacteria Alphaproteobacteria Caulobacteraceae
ASV742	Proteobacteria Deltaproteobacteria Desulfarculaceae
ASV624	Proteobacteria Gammaproteobacteria Nitrosomonadaceae
ASV622	Proteobacteria Gammaproteobacteria SC-I-84
ASV623	Verrucomicrobia Verrucomicrobiae Opitutaceae
BE242	
BE243	
ASV2175	Actinobacteria Actinobacteria Thermomonosporaceae
BE65B	
BE153	
BE156	
BE157	
BE154	
BE159	
BE92	
ASV820	Spirochaetes Leptospirae Leptospiraceae
ASV1173	Proteobacteria Gammaproteobacteria Xanthomonadaceae
ASV829	Bacteroidetes Ignavibacteria BSV26
ASV1558	Chloroflexi Chloroflexia Herpetosiphonaceae
BE43	
ASV489	Proteobacteria Deltaproteobacteria Sandaracinaceae
ASV958	Proteobacteria Gammaproteobacteria Burkholderiaceae
BE40	
ASV527	Planctomycetes Planctomycetacia Gemmataceae
BE46	
BE45	
BE44	
ASV952	Acidobacteria Subgroup_6 Unknown_Family
BE228	
BE49	
BE48	
ASV484	Proteobacteria Gammaproteobacteria Unknown_Family
ASV957	Bacteroidetes Ignavibacteria BSV26
ASV254	Proteobacteria Gammaproteobacteria Nitrosomonadaceae
ASV1811	Actinobacteria Actinobacteria Micrococcaceae
ASV139	Nitrospirae Nitrospira Nitrospiraceae
ASV134	Planctomycetes Phycisphaerae WD2101_soil_group
ASV136	Proteobacteria Alphaproteobacteria Xanthobacteraceae
ASV50	Bacteroidetes Bacteroidia env.OPS_17
ASV51	Actinobacteria Thermoleophilia Gaiellaceae
BE275	
ASV54	Nitrospirae Nitrospira Nitrospiraceae
ASV56	Bacteroidetes Bacteroidia Microscillaceae
ASV57	Verrucomicrobia Verrucomicrobiae Pedosphaeraceae
ASV58	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV59	Proteobacteria Alphaproteobacteria Xanthobacteraceae
ASV4094	Bacteroidetes Bacteroidia Microscillaceae
ASV283	Firmicutes Bacilli Bacillaceae
ASV738	Chloroflexi Chloroflexia Roseiflexaceae
ASV1350	Proteobacteria Gammaproteobacteria Pseudomonadaceae
ASV554	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV553	Bacteroidetes Bacteroidia Saprospiraceae
ASV550	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV1778	Proteobacteria Gammaproteobacteria Nitrosomonadaceae
ASV416	Proteobacteria Gammaproteobacteria Nitrosomonadaceae
ASV415	Chloroflexi Anaerolineae Anaerolineaceae
ASV414	Proteobacteria Gammaproteobacteria Rhodanobacteraceae
ASV3899	Actinobacteria Actinobacteria Promicromonosporaceae
ASV26	Proteobacteria Alphaproteobacteria Devosiaceae
ASV21	Proteobacteria Deltaproteobacteria Sandaracinaceae
ASV20	Fibrobacteres Fibrobacteria Fibrobacteraceae
ASV23	Proteobacteria Alphaproteobacteria Caulobacteraceae
ASV22	Nitrospirae Nitrospira Nitrospiraceae
ASV28	Fibrobacteres Fibrobacteria Fibrobacteraceae
ASV3255	Chloroflexi Chloroflexia Herpetosiphonaceae
BE224	
ASV362	Proteobacteria Alphaproteobacteria Sphingomonadaceae
ASV2303	Proteobacteria Deltaproteobacteria 0319-6G20
ASV310	Planctomycetes Phycisphaerae WD2101_soil_group
ASV1192	Proteobacteria Gammaproteobacteria TRA3-20
ASV316	Proteobacteria Gammaproteobacteria Nitrosomonadaceae
ASV318	Proteobacteria Gammaproteobacteria A21b
ASV250	Proteobacteria Gammaproteobacteria Nitrosomonadaceae
ASV1177	Proteobacteria Alphaproteobacteria Sphingomonadaceae
ASV1174	Acidobacteria Thermoanaerobaculia Thermoanaerobaculaceae
ASV1378	Actinobacteria Thermoleophilia 67-14
ASV1379	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV1372	Chloroflexi Anaerolineae A4b
ASV1373	Proteobacteria Gammaproteobacteria Nitrosomonadaceae
ASV1194	Verrucomicrobia Verrucomicrobiae Pedosphaeraceae
ASV1195	Proteobacteria Alphaproteobacteria Sphingomonadaceae
ASV879	Firmicutes Bacilli Streptococcaceae
ASV2607	Verrucomicrobia Verrucomicrobiae Pedosphaeraceae
ASV1193	Gemmatimonadetes Gemmatimonadetes Gemmatimonadaceae
ASV702	Proteobacteria Gammaproteobacteria Nitrosomonadaceae
ASV877	Proteobacteria Gammaproteobacteria Rhodanobacteraceae
ASV700	Proteobacteria Alphaproteobacteria Dongiaceae
ASV707	Acidobacteria Acidobacteriia Solibacteraceae_(Subgroup_3)
ASV704	Proteobacteria Gammaproteobacteria Xanthomonadaceae
ASV1904	Bacteroidetes Bacteroidia Microscillaceae
ASV1109	Proteobacteria Gammaproteobacteria Acidiferrobacteraceae
ASV1511	Proteobacteria Gammaproteobacteria Acidiferrobacteraceae
ASV1101	Planctomycetes Planctomycetacia Gemmataceae
ASV675	Nitrospirae Nitrospira Nitrospiraceae
ASV178	Spirochaetes Leptospirae Leptospiraceae
ASV174	Proteobacteria Gammaproteobacteria TRA3-20
ASV171	Proteobacteria Gammaproteobacteria Pseudomonadaceae
ASV173	Verrucomicrobia Verrucomicrobiae Pedosphaeraceae
ASV96	Verrucomicrobia Verrucomicrobiae Pedosphaeraceae
ASV97	Gemmatimonadetes Gemmatimonadetes Gemmatimonadaceae
ASV90	Proteobacteria Alphaproteobacteria Rhizobiaceae
ASV91	Proteobacteria Gammaproteobacteria Pseudomonadaceae
ASV778	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV2040	Chloroflexi Chloroflexia Herpetosiphonaceae
ASV772	Proteobacteria Alphaproteobacteria Xanthobacteraceae
ASV773	Chloroflexi Chloroflexia Herpetosiphonaceae
ASV1248	Verrucomicrobia Verrucomicrobiae Chthoniobacteraceae
ASV115	Proteobacteria Alphaproteobacteria Hyphomicrobiaceae
BE128	
BE222	
BE123	
BE122	
BE121	
BE120	
BE127	
BE126	
BE125	
BE124	
ASV453	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV452	Proteobacteria Gammaproteobacteria Enterobacteriaceae
ASV903	Verrucomicrobia Verrucomicrobiae Pedosphaeraceae
ASV459	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV458	Proteobacteria Deltaproteobacteria Sandaracinaceae
BE28	
ASV1923	Verrucomicrobia Verrucomicrobiae Chthoniobacteraceae
BE39	
ASV1568	Acidobacteria Acidobacteriia Solibacteraceae_(Subgroup_3)
BE32	
BE33	
BE30	
BE31	
BE36	
ASV517	Verrucomicrobia Verrucomicrobiae Pedosphaeraceae
