qseqid	label	node	font_color	number	font_type	background_colr
ASV3538	label	node	#000000	1	bold	#ffff00
ASV3549	label	node	#000000	1	bold	#ffff00
ASV3592	label	node	#000000	1	bold	#ffff00
ASV3663	label	node	#000000	1	bold	#ffff00
ASV3700	label	node	#000000	1	bold	#ffff00
ASV3747	label	node	#000000	1	bold	#ffff00
ASV3772	label	node	#000000	1	bold	#ffff00
ASV3822	label	node	#000000	1	bold	#ffff00
ASV3829	label	node	#000000	1	bold	#ffff00
ASV3833	label	node	#000000	1	bold	#ffff00
ASV3877	label	node	#000000	1	bold	#ffff00
ASV3899	label	node	#000000	1	bold	#ffff00
ASV4081	label	node	#000000	1	bold	#ffff00
ASV4123	label	node	#000000	1	bold	#ffff00
ASV4171	label	node	#000000	1	bold	#ffff00
ASV4193	label	node	#000000	1	bold	#ffff00
ASV4249	label	node	#000000	1	bold	#ffff00
ASV4250	label	node	#000000	1	bold	#ffff00
ASV4308	label	node	#000000	1	bold	#ffff00
ASV4313	label	node	#000000	1	bold	#ffff00
ASV4429	label	node	#000000	1	bold	#ffff00
ASV4431	label	node	#000000	1	bold	#ffff00
ASV4454	label	node	#000000	1	bold	#ffff00
ASV4464	label	node	#000000	1	bold	#ffff00
ASV4604	label	node	#000000	1	bold	#ffff00
ASV4621	label	node	#000000	1	bold	#ffff00
ASV4702	label	node	#000000	1	bold	#ffff00
ASV4704	label	node	#000000	1	bold	#ffff00
ASV4780	label	node	#000000	1	bold	#ffff00
ASV4805	label	node	#000000	1	bold	#ffff00
ASV4825	label	node	#000000	1	bold	#ffff00
ASV4853	label	node	#000000	1	bold	#ffff00
ASV4861	label	node	#000000	1	bold	#ffff00
ASV4895	label	node	#000000	1	bold	#ffff00
ASV4941	label	node	#000000	1	bold	#ffff00
ASV4992	label	node	#000000	1	bold	#ffff00
ASV5057	label	node	#000000	1	bold	#ffff00
ASV5110	label	node	#000000	1	bold	#ffff00
ASV5114	label	node	#000000	1	bold	#ffff00
ASV5115	label	node	#000000	1	bold	#ffff00
ASV5240	label	node	#000000	1	bold	#ffff00
ASV5469	label	node	#000000	1	bold	#ffff00
ASV5500	label	node	#000000	1	bold	#ffff00
ASV5529	label	node	#000000	1	bold	#ffff00
ASV5550	label	node	#000000	1	bold	#ffff00
ASV5572	label	node	#000000	1	bold	#ffff00
ASV5578	label	node	#000000	1	bold	#ffff00
ASV5623	label	node	#000000	1	bold	#ffff00
ASV5658	label	node	#000000	1	bold	#ffff00
ASV5706	label	node	#000000	1	bold	#ffff00
ASV5766	label	node	#000000	1	bold	#ffff00
ASV5770	label	node	#000000	1	bold	#ffff00
ASV5830	label	node	#000000	1	bold	#ffff00
ASV5885	label	node	#000000	1	bold	#ffff00
ASV6053	label	node	#000000	1	bold	#ffff00
ASV6169	label	node	#000000	1	bold	#ffff00
ASV6202	label	node	#000000	1	bold	#ffff00
ASV6327	label	node	#000000	1	bold	#ffff00
ASV6395	label	node	#000000	1	bold	#ffff00
ASV6438	label	node	#000000	1	bold	#ffff00
ASV6447	label	node	#000000	1	bold	#ffff00
ASV6538	label	node	#000000	1	bold	#ffff00
ASV6540	label	node	#000000	1	bold	#ffff00
ASV6550	label	node	#000000	1	bold	#ffff00
ASV6757	label	node	#000000	1	bold	#ffff00
ASV6835	label	node	#000000	1	bold	#ffff00
ASV6963	label	node	#000000	1	bold	#ffff00
ASV7060	label	node	#000000	1	bold	#ffff00
ASV7163	label	node	#000000	1	bold	#ffff00
ASV7226	label	node	#000000	1	bold	#ffff00
ASV7471	label	node	#000000	1	bold	#ffff00
ASV7479	label	node	#000000	1	bold	#ffff00
ASV7488	label	node	#000000	1	bold	#ffff00
ASV7618	label	node	#000000	1	bold	#ffff00
ASV7717	label	node	#000000	1	bold	#ffff00
ASV8037	label	node	#000000	1	bold	#ffff00
ASV8113	label	node	#000000	1	bold	#ffff00
ASV8122	label	node	#000000	1	bold	#ffff00
ASV8193	label	node	#000000	1	bold	#ffff00
ASV8381	label	node	#000000	1	bold	#ffff00
ASV9458	label	node	#000000	1	bold	#ffff00
ASV10495	label	node	#000000	1	bold	#ffff00
